ammenity,location,name,price,type,view,Column1,Cleaned_name,Number of Ammenity
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Covered car park",Selangor,"Middle Room at Kota Damansara, Petaling Jaya",RM 600.00,Middle Room,135,Views,Middle Room at Kota Damansara Petaling Jaya,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,"With Carpark 👍 Middle Room with Fan only at One Damansara, Damansara Damai, Sungai Buloh, Kota Damansara",RM 700.00,Middle Room,93,Views,With Carpark  Middle Room with Fan only at One Damansara Damansara Damai Sungai Buloh Kota Damansara,17
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Surau, Mini Market",Petaling Jaya,"Newly Renovated Master Room at Palm Spring, Kota Damansara",RM 800.00,Master Room,36,Views,Newly Renovated Master Room at Palm Spring Kota Damansara,13
"Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT / MRT, Near LRT, Near Bus stop",Subang Jaya,"0️⃣Zero Deposit0️⃣Single room for rent at Subang USJ, 🚶‍♂️5mins walking distance to LRT USJ7, 🚗5min drive to Damen/Submit/Segi College ✨",RM 460.00,Single Room,176,Views,0Zero Deposit0Single room for rent at Subang USJ 5mins walking distance to LRT USJ7 5min drive to DamenSubmitSegi College ,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, TV, 24 hours security, Covered car park, Mini Market",Malaysia,"New Condo 🌈 Middle Room at Union Suites, Bandar Sunway","RM 1,200.00",Master Room,24,Views,New Condo  Middle Room at Union Suites Bandar Sunway,8
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop, Playground, Mini Market",Petaling Jaya,Newly Released Rooms💫 walking distance to LRT & BUS STATION 💖,RM 600.00,Middle Room,306,Views,Newly Released Rooms walking distance to LRT  BUS STATION ,8
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near Bus stop, 24 hours security",Selangor,"Zero Deposit Medium Room for Rent in Kota Kemuning, Gamuda Walk, Bukit Rimau, Gamuda Walk",RM 650.00,Middle Room,27,Views,Zero Deposit Medium Room for Rent in Kota Kemuning Gamuda Walk Bukit Rimau Gamuda Walk,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Near Bus stop",Selangor,"❄️ Master Room ❄️ at SS2, Petaling Jaya nearby 1 Utama Shopping Mall / Taman Bahagia LRT Station ♨️",RM 650.00,Master Room,297,Views, Master Room  at SS2 Petaling Jaya nearby 1 Utama Shopping Mall  Taman Bahagia LRT Station ,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near Bus stop",Selangor,"Middle Room at Damansara Jaya, Petaling Jaya",RM 590.00,Middle Room,82,Views,Middle Room at Damansara Jaya Petaling Jaya,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park",Selangor,"New Condo 🌈 Middle Room at Union Suites, Bandar Sunway","RM 1,300.00",Middle Room,302,Views,New Condo  Middle Room at Union Suites Bandar Sunway,10
"Washing Machine, Wifi / Internet Access, Share Bathroom, Near Bus stop, Mini Market",Petaling Jaya,"Zero Deposit 🌈 Middle Room at D'Aman Crimson, Ara Damansara",RM 370.00,Middle Room,430,Views,Zero Deposit  Middle Room at DAman Crimson Ara Damansara,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near Train, 24 hours security, Mini Market",Selangor,💥💥  UNION SUITES CONDO  💥💥 2️⃣ND MONTH RM1️⃣ ONLY,"RM 1,300.00",Master Room,327,Views,  UNION SUITES CONDO   2ND MONTH RM1 ONLY,8
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT, Near Bus stop",Malaysia,"Low Deposit 🌈 Single Room at Sungai Besi, Kuala Lumpur walking distance sungai besi LRT station",RM 400.00,Single Room,645,Views,Low Deposit  Single Room at Sungai Besi Kuala Lumpur walking distance sungai besi LRT station,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Surau, Mini Market",Selangor,IBILIK PREFERRED |ZERO DEPOSIT!!! Utropolis (Suites) Glenmarie FULLY FURNISHED ROOM,RM 600.00,Single Room,195,Views,IBILIK PREFERRED ZERO DEPOSIT Utropolis Suites Glenmarie FULLY FURNISHED ROOM,12
"Air-Conditioning, Wifi / Internet Access, Cooking Allowed, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Covered car park",Kuala Lumpur,💥ibilikPreferred ZERO DEPOSIT OLD KLANG ROAD RIVERVILLE CONDO💥,RM 750.00,Middle Room,99,Views,ibilikPreferred ZERO DEPOSIT OLD KLANG ROAD RIVERVILLE CONDO,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Surau",Kuala Lumpur,🔥ibilikPreffered ZERO DEPOSIT OLD KLANG ROAD RIVERVILLE CONDO🔥,RM 800.00,Middle Room,76,Views,ibilikPreffered ZERO DEPOSIT OLD KLANG ROAD RIVERVILLE CONDO,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Surau, Mini Market",Selangor,IBILIK PREFERRED | ZERO DEPOSIT Fully Furnished FEMALE ROOM @ Bandar Sunway,RM 701.00,Single Room,96,Views,IBILIK PREFERRED  ZERO DEPOSIT Fully Furnished FEMALE ROOM  Bandar Sunway,13
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Surau, Mini Market",Kuala Lumpur,IBILIK PREFERRED | ZERO DEPOSIT!!! FULLY FURNISHED ROOM AT RIVERVILLE CONDO,RM 790.00,Single Room,106,Views,IBILIK PREFERRED  ZERO DEPOSIT FULLY FURNISHED ROOM AT RIVERVILLE CONDO,12
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, 24 hours security, Mini Market",Selangor,"Middle Room at Utropolis suites @ Glenmarie, Shah Alam",RM 850.00,Middle Room,99,Views,Middle Room at Utropolis suites  Glenmarie Shah Alam,7
"Wifi / Internet Access, Cooking Allowed",Selangor,⭐️ibilikPreferred 0 Deposit!!!!  Fully Furnished Medium Room,RM 700.00,Middle Room,96,Views,ibilikPreferred 0 Deposit  Fully Furnished Medium Room,2
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Private Bathroom, 24 hours security, Covered car park, Mini Market",Kuala Lumpur,"Queen bedroom at Riverville Residences, Old Klang Road",RM 850.00,Middle Room,96,Views,Queen bedroom at Riverville Residences Old Klang Road,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Covered car park",Selangor,✨ibilikPreffered ZERO DEPOSIT Famous Student Accomodation Urbano Medium Room✨,RM 900.00,Middle Room,83,Views,ibilikPreffered ZERO DEPOSIT Famous Student Accomodation Urbano Medium Room,9
"Air-Conditioning, Wifi / Internet Access, Near LRT, Near Bus stop",Selangor,Female Unit 🌈 Can be Walking distance LRT IOI Puchong Jaya,RM 580.00,Middle Room,164,Views,Female Unit  Can be Walking distance LRT IOI Puchong Jaya,4
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near Bus stop, Mini Market",Petaling Jaya,"Tanpa Deposit 💥 Middle Room at D'Aman Crimson, Ara Damansara",RM 370.00,Middle Room,612,Views,Tanpa Deposit  Middle Room at DAman Crimson Ara Damansara,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Covered car park",Selangor,"LOW Deposit ⛳ Middle Room at i-Residence, Shah Alam",RM 950.00,Middle Room,376,Views,LOW Deposit  Middle Room at iResidence Shah Alam,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Covered car park",Selangor,"LOW Deposit ⛳ Master Room at i-Residence, Shah Alam","RM 1,450.00",Master Room,283,Views,LOW Deposit  Master Room at iResidence Shah Alam,9
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Covered car park",Selangor,"LOW Deposit 🌈 Master Room at i-Residence, Shah Alam","RM 1,450.00",Master Room,281,Views,LOW Deposit  Master Room at iResidence Shah Alam,9
"Wifi / Internet Access, Cooking Allowed, 24 hours security, Gymnasium Facility",Kuala Lumpur,🔥ibilikPreffered ZERO DEPOSIT Fully Furnished Medium Room,RM 790.00,Middle Room,58,Views,ibilikPreffered ZERO DEPOSIT Fully Furnished Medium Room,4
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near LRT, 24 hours security, Mini Market",Selangor,IBILIK PREFERRED | ZERO DEPOSIT ROOM @ LRT SS15,RM 520.00,Single Room,452,Views,IBILIK PREFERRED  ZERO DEPOSIT ROOM  LRT SS15,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Mini Market",Malaysia,ZERO DEPOSIT🌈UTROPOLIS URBANO🌈SINGLE ROOM,RM 700.00,Single Room,80,Views,ZERO DEPOSITUTROPOLIS URBANOSINGLE ROOM,13
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Surau, Mini Market",Malaysia,IBILIK PREFERRED | ZERO DEPOSIT!!! FULLY FURNISHED ROOM AT RIVERVILLE CONDO,RM 850.00,Middle Room,103,Views,IBILIK PREFERRED  ZERO DEPOSIT FULLY FURNISHED ROOM AT RIVERVILLE CONDO,12
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, 24 hours security, Mini Market",Kuala Lumpur,"Queen bedroom at Riverville Residences, Old Klang Road",RM 850.00,Middle Room,74,Views,Queen bedroom at Riverville Residences Old Klang Road,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Private Bathroom, Near Train, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Mini Market",Kuala Lumpur,ZERO DEPOSIT🔥RIVERVILLE CONDO🏠QUEEN ROOM,RM 850.00,Middle Room,95,Views,ZERO DEPOSITRIVERVILLE CONDOQUEEN ROOM,13
